# package	version
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7
apparmor-utils	4.0.1really4.0.1-0ubuntu0.24.04.7
auditd	1:3.1.2-2.1build1.1
audispd-plugins	1:3.1.2-2.1build1.1
ca-certificates	20260601~24.04.1
cloudflared	2026.8.2
containerd.io	2.3.3-1~ubuntu.24.04~noble
curl	8.5.0-2ubuntu10.13
docker-buildx-plugin	0.36.1-1~ubuntu.24.04~noble
docker-ce	5:29.7.2-1~ubuntu.24.04~noble
docker-ce-cli	5:29.7.2-1~ubuntu.24.04~noble
docker-compose-plugin	5.5.0-1~ubuntu.24.04~noble
fail2ban	1.0.2-3ubuntu0.1
git	1:2.43.0-1ubuntu7.3
gnupg	2.4.4-2ubuntu17.4
iptables	1.8.10-3ubuntu2
jq	1.7.1-3ubuntu0.24.04.2
logrotate	3.21.0-2build1
needrestart	3.6-7ubuntu4.5
python3	3.12.3-0ubuntu2.1
python3-yaml	6.0.1-2build2
restic	0.16.4-2ubuntu0.24.04.3
rsync	3.2.7-1ubuntu1.5
sysstat	12.6.1-2
tar	1.35+dfsg-3ubuntu0.4
ufw	0.36.2-6
unattended-upgrades	2.9.1+nmu4ubuntu1
unzip	6.0-28ubuntu4.1
